Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710963010.6483703,88686,1710963010,647665677,crazy08/base_link,45685.0,34375.0,41783.0,40629.0
1710963010.6588943,88687,1710963010,658383864,crazy08/base_link,45250.0,32034.0,42040.0,43148.0
1710963010.6696522,88688,1710963010,669080494,crazy08/base_link,44934.0,31790.0,42098.0,43650.0
1710963010.678464,88689,1710963010,677952338,crazy08/base_link,45074.0,30704.0,41902.0,44792.0
1710963010.6890373,88690,1710963010,688509021,crazy08/base_link,44672.0,30618.0,42342.0,44840.0
1710963010.698906,88691,1710963010,698398038,crazy08/base_link,44699.0,30751.0,41905.0,45117.0
1710963010.7098134,88692,1710963010,709246574,crazy08/base_link,44182.0,36410.0,44970.0,41746.0
1710963010.7187622,88693,1710963010,718278266,crazy08/base_link,43653.0,35539.0,45095.0,43021.0
1710963010.7295856,88694,1710963010,729010490,crazy08/base_link,44497.0,37077.0,44427.0,41307.0
1710963010.7381353,88695,1710963010,737597865,crazy08/base_link,45104.0,36816.0,43098.0,42290.0
1710963010.7497375,88696,1710963010,749162365,crazy08/base_link,45651.0,37409.0,43075.0,41173.0
1710963010.7589362,88697,1710963010,758372057,crazy08/base_link,44950.0,37962.0,42820.0,41576.0
1710963010.769078,88698,1710963010,768544485,crazy08/base_link,45540.0,37258.0,42886.0,41624.0
1710963010.7790964,88699,1710963010,778558660,crazy08/base_link,45727.0,37597.0,42065.0,41919.0
1710963010.7882416,88700,1710963010,787648052,crazy08/base_link,46497.0,36913.0,41859.0,42039.0
1710963010.7992618,88701,1710963010,798668086,crazy08/base_link,45636.0,39050.0,42342.0,41252.0
1710963010.807748,88702,1710963010,807233342,crazy08/base_link,45139.0,38199.0,43569.0,41373.0
1710963010.818503,88703,1710963010,817933194,crazy08/base_link,44455.0,36383.0,43503.0,43939.0
1710963010.828837,88704,1710963010,828333263,crazy08/base_link,44500.0,34732.0,44250.0,44798.0
1710963010.8398623,88705,1710963010,839349630,crazy08/base_link,43323.0,33585.0,45079.0,46293.0
1710963010.8491116,88706,1710963010,848582984,crazy08/base_link,43483.0,34745.0,45955.0,45045.0
1710963010.8581016,88707,1710963010,857312796,crazy08/base_link,42732.0,33718.0,46710.0,46068.0
1710963010.868449,88708,1710963010,867973164,crazy08/base_link,43435.0,35429.0,46239.0,44125.0
1710963010.8791344,88709,1710963010,878584876,crazy08/base_link,44623.0,34361.0,44557.0,45687.0
1710963010.8881242,88710,1710963010,887507572,crazy08/base_link,44755.0,40267.0,45405.0,39801.0
1710963010.8987124,88711,1710963010,898208825,crazy08/base_link,47045.0,37427.0,42669.0,43087.0
1710963010.9094293,88712,1710963010,908874245,crazy08/base_link,47741.0,38255.0,42467.0,41765.0
1710963010.9181025,88713,1710963010,917607444,crazy08/base_link,48317.0,37531.0,41777.0,42603.0
1710963010.928457,88714,1710963010,927945671,crazy08/base_link,47831.0,37755.0,42737.0,41905.0
1710963010.939566,88715,1710963010,938982858,crazy08/base_link,48338.0,37406.0,41964.0,42224.0
1710963010.9485996,88716,1710963010,948113890,crazy08/base_link,46517.0,36825.0,43861.0,42729.0
1710963010.95808,88717,1710963010,957556001,crazy08/base_link,46443.0,36669.0,43991.0,42829.0
1710963010.9691792,88718,1710963010,968195368,crazy08/base_link,45711.0,35461.0,44827.0,43933.0
1710963010.9790483,88719,1710963010,978544027,crazy08/base_link,45462.0,36174.0,45008.0,43288.0
1710963010.9877021,88720,1710963010,987228170,crazy08/base_link,46233.0,35809.0,44441.0,43449.0
1710963010.9983556,88721,1710963010,997846975,crazy08/base_link,46291.0,35731.0,44265.0,43645.0
1710963011.0094156,88722,1710963011,8911422,crazy08/base_link,47354.0,36228.0,43280.0,43070.0
1710963011.018171,88723,1710963011,17620473,crazy08/base_link,46656.0,36488.0,43756.0,43032.0
