Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1710963011.276662,25,1710963011,276382923,base_link,1.2283187463305625,-0.0987664103781174,0.8779148432913202,-0.036313206371738335,0.005378629920076602,-0.000195447036539657,0.9993259644298462
1710963011.3375301,26,1710963011,337283611,base_link,1.1882052251986215,-0.14389412165155102,0.8729006531498276,-0.03027579158650168,0.001441509667112349,-4.366290749112351e-05,0.999540542743135
1710963011.3827643,27,1710963011,382478237,base_link,1.1580415124397287,-0.17782829850530524,0.8691301890549661,-0.031180920937278186,0.004365865078726075,-0.0001361992197107612,0.9995042125180815
1710963011.4300144,28,1710963011,429903984,base_link,1.1274588569729245,-0.21223378590546005,0.8653073571216156,-0.02337033119392254,-0.0006326755878149189,1.4789880451746277e-05,0.9997266762084257
1710963011.4819164,29,1710963011,481448173,base_link,1.0925292373288107,-0.25152960800508817,0.8609411546661013,-0.029347887254117903,0.007676004877250394,-0.0002253782540300117,0.9995397589228187
1710963011.5418437,30,1710963011,541493654,base_link,1.0527459448502008,-0.2962858120435241,0.8559682431062751,-0.023874727413745512,0.003411076704923971,-8.146222099749775e-05,0.9997091353541484
1710963011.588751,31,1710963011,588516235,base_link,1.021662420975445,-0.3312547764026246,0.8520828026219306,-0.016921929813518363,-0.002158983525554459,3.65394848302968e-05,0.9998544822854918
1710963011.6339629,32,1710963011,633690357,base_link,0.9917204920288343,-0.3649394464675615,0.8483400615036043,-0.012952676952202744,-0.0034253153793035607,4.437098618857731e-05,0.9999102426745812
1710963011.6805058,33,1710963011,680244445,base_link,0.9610140796878719,-0.3994841603511443,0.844501759960984,-0.012391808522407986,-0.004527487058299246,5.610863601088228e-05,0.999912967109789
1710963011.743622,34,1710963011,743208408,base_link,0.919210264234066,-0.44651345273667586,0.8392762830292582,-0.00836402650147205,-0.006801435934719148,5.6890696412137694e-05,0.9999418884582031
1710963011.7882512,35,1710963011,787950038,base_link,0.8896277678352988,-0.47979376118528894,0.8355784709794123,-0.009669253286004327,-0.0025577726115638545,2.4732988370493586e-05,0.9999499801132244
1710963011.8328416,36,1710963011,832548141,base_link,0.8600378514531766,-0.5130824171151764,0.8318797314316471,-0.008470809432147078,-0.0032604311750372987,2.761962890623482e-05,0.9999588062581743
1710963011.878401,37,1710963011,878025531,base_link,0.8301156546172042,-0.5467448885556454,0.8281394568271505,-0.005653051467373962,-0.00657155192834391,3.715071711820744e-05,0.9999624274612444
1710963011.9653895,38,1710963011,965274572,base_link,0.7554174161745755,-0.5750000000000002,0.825,-0.09540385893265826,-0.05259493437390539,0.005047868165409458,0.9940354096338554
1710963012.012204,39,1710963012,12086629,base_link,0.7088165971745755,-0.5750000000000002,0.825,-0.09720956848234905,-0.05554109308065372,0.005433366080686729,0.9936981258450248
1710963012.0611756,40,1710963012,61060428,base_link,0.6596697071745752,-0.5750000000000002,0.825,-0.09987575769621466,-0.056537573548748304,0.005684385950776188,0.9933760735784758
1710963012.1255915,41,1710963012,125480890,base_link,0.5952325561745753,-0.5750000000000002,0.825,-0.09973105554784673,-0.057405422867021216,0.005763486027050332,0.9933403828565447
1710963012.1762104,42,1710963012,175757408,base_link,0.5479379391745753,-0.5750000000000002,0.825,-0.09694893459422053,-0.058655340618000935,0.005723529601855389,0.9935430017402008
1710963012.2418306,43,1710963012,241724491,base_link,0.4796152801745752,-0.5750000000000002,0.825,-0.08982653886869947,-0.05499762461109183,0.004967940803398932,0.9944253485134927
